Dosya_Adi,Koruma_Sira_No,Koruma_Kodu,Koruma_Aciklamasi,Koruma_Durumu,Koruma_Detay_Satiri
7E0A0011,38,50N,Ani Toprak Koruma,Tespit Edildi,40. 50N    | Ani Toprak Koruma              | Tespit Edildi
7E0A0011,39,51N,Zaman Aşırı Toprak Koruma,Tespit Edildi,41. 51N    | Zaman Aşırı Toprak Koruma      | Tespit Edildi
7E0A0011,40,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,42. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,41,67N,Yönlü Toprak Koruma,Tespit Edildi,43. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0011,42,67NIEF,Yönlü Toprak Koruma (İnternal),Tespit Edildi,44. 67NIEF | Yönlü Toprak Koruma (İnternal) | Tespit Edildi
7E0A0011,43,50,Ani Akım Koruma,Tespit Edildi,45. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,44,51,Zaman Aşırı Akım Koruma,Tespit Edildi,46. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,45,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,47. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,46,67N,Yönlü Toprak Koruma,Tespit Edildi,48. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0011,47,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,49. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,48,67N,Yönlü Toprak Koruma,Tespit Edildi,50. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0011,49,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,51. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,50,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,52. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,51,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,53. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,52,67N,Yönlü Toprak Koruma,Tespit Edildi,54. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0011,53,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,55. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,54,67N,Yönlü Toprak Koruma,Tespit Edildi,56. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0011,55,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,57. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,56,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,58. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,57,50,Ani Akım Koruma,Tespit Edildi,59. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,58,50,Ani Akım Koruma,Tespit Edildi,60. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,59,79,Otomatik Kapama/Açma,Açma,61. 79     | Otomatik Kapama/Açma           | Açma
7E0A0011,60,79,Otomatik Kapama/Açma,Tespit Edildi,62. 79     | Otomatik Kapama/Açma           | Tespit Edildi
7E0A0011,61,79,Otomatik Kapama/Açma,Hazır,63. 79     | Otomatik Kapama/Açma           | Hazır
7E0A0011,62,79,Otomatik Kapama/Açma,Aktif,64. 79     | Otomatik Kapama/Açma           | Aktif
7E0A0011,63,46,Faz Sırası/Negatif Sıra Koruma,Tespit Edildi,65. 46     | Faz Sırası/Negatif Sıra Koruma | Tespit Edildi
7E0A0011,64,60,Gerilim/Frekans Dengesizlik,Tespit Edildi,66. 60     | Gerilim/Frekans Dengesizlik    | Tespit Edildi
7E0A0011,65,59,Aşırı Gerilim Koruma,Tespit Edildi,69. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0011,66,27,Az Gerilim Koruma,Tespit Edildi,70. 27     | Az Gerilim Koruma              | Tespit Edildi
7E0A0011,67,59,Aşırı Gerilim Koruma,Tespit Edildi,71. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0011,68,49F,Termal Koruma,Çalışma,72. 49F    | Termal Koruma                  | Çalışma
7E0A0011,69,68,Blok Koruma,Tespit Edildi,73. 68     | Blok Koruma                    | Tespit Edildi
7E0A0011,70,50,Ani Akım Koruma,Çalışma,74. 50     | Ani Akım Koruma                | Çalışma
7E0A0011,71,51,Zaman Aşırı Akım Koruma,Çalışma,75. 51     | Zaman Aşırı Akım Koruma        | Çalışma
7E0A0011,72,50N,Ani Toprak Koruma,Çalışma,76. 50N    | Ani Toprak Koruma              | Çalışma
7E0A0011,73,51N,Zaman Aşırı Toprak Koruma,Çalışma,77. 51N    | Zaman Aşırı Toprak Koruma      | Çalışma
7E0A0011,74,67,Yönlü Aşırı Akım Koruma,Tespit Edildi,78. 67     | Yönlü Aşırı Akım Koruma        | Tespit Edildi
7E0A0011,75,67N,Yönlü Toprak Koruma,Tespit Edildi,79. 67N    | Yönlü Toprak Koruma            | Tespit Edildi
7E0A0011,76,67NIEF,Yönlü Toprak Koruma (İnternal),Tespit Edildi,80. 67NIEF | Yönlü Toprak Koruma (İnternal) | Tespit Edildi
